CountryCode,Language,IsOfficial,Percentage
AFG,Balochi,F,0.9
AFG,Dari,T,32.1
AFG,Pashto,T,52.4
AFG,Turkmenian,F,1.9
AFG,Uzbek,F,8.8
AGO,Ambo,F,2.4
AGO,Chokwe,F,4.2
AGO,Kongo,F,13.2
AGO,Luchazi,F,2.4
AGO,Luimbe-nganguela,F,5.4
AGO,Luvale,F,3.6
AGO,Mbundu,F,21.6
AGO,Nyaneka-nkhumbi,F,5.4
AGO,Ovimbundu,F,37.2
ALB,Albanian,T,97.9
ALB,Greek,F,1.8
ALB,Macedonian,F,0.1
ARE,Arabic,T,42.0
ARE,Hindi,F,0.0
ARG,Indian Languages,F,0.3
ARG,Italian,F,1.7
ARG,Spanish,T,96.8
ARM,Armenian,T,93.4
ARM,Azerbaijani,F,2.6
AUS,Arabic,F,1.0
AUS,Chinese,F,1.1
AUS,English,T,81.2
AUS,German,F,0.6
AUS,Greek,F,1.6
AUS,Italian,F,2.2
AUS,Serbo-Croatian,F,0.6
AUS,Vietnamese,F,0.8
AUT,Czech,F,0.2
AUT,German,T,92.0
AUT,Hungarian,F,0.4
AUT,Polish,F,0.2
AUT,Romanian,F,0.2
AUT,Serbo-Croatian,F,2.2
AUT,Slovene,F,0.4
AUT,Turkish,F,1.5
AZE,Armenian,F,2.0
AZE,Azerbaijani,T,89.0
AZE,Lezgian,F,2.3
AZE,Russian,F,3.0
BDI,French,T,0.0
BDI,Kirundi,T,98.1
BDI,Swahili,F,0.0
BEL,Arabic,F,1.6
BEL,Dutch,T,59.2
BEL,French,T,32.6
BEL,German,T,1.0
BEL,Italian,F,2.4
BEL,Turkish,F,0.9
BEN,French,T,
BEN,Adja,F,11.1
BEN,Aizo,F,8.7
BEN,Bariba,F,8.7
BEN,Fon,F,39.8
BEN,Ful,F,5.6
BEN,Joruba,F,12.2
BEN,Somba,F,6.7
BFA,Busansi,F,3.5
BFA,Dagara,F,3.1
BFA,Dyula,F,2.6
BFA,Ful,F,9.7
BFA,Gurma,F,5.7
BFA,Mossi,F,50.2
BGD,Bengali,T,97.7
BGD,Chakma,F,0.4
BGD,Garo,F,0.1
BGD,Khasi,F,0.1
BGD,Marma,F,0.2
BGD,Santhali,F,0.1
